id,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
2,3,1,2,1,2,2,1,1,3,3,2,2,2,2,2,2,2,2,1,1,3,2,3,3,1,1,2,3,3,1,1,1
3,2,2,2,3,1,1,3,3,2,2,2,2,2,1,2,1,2,1,1,2,2,2,3,3,2,2,2,3,1,3,3,1
4,2,1,2,3,1,2,2,2,3,3,1,1,2,3,3,2,2,2,1,1,2,2,2,2,3,3,2,2,3,1,3,1
5,1,2,2,1,2,2,2,3,2,3,1,1,2,2,2,1,2,2,1,2,2,2,3,2,1,1,3,3,3,3,1,1
7,1,1,1,2,2,2,1,2,3,3,2,2,2,2,2,1,1,2,2,2,3,2,2,2,1,1,3,3,3,3,2,1
11,2,3,2,3,2,3,2,2,1,2,2,2,2,3,2,2,2,1,2,1,2,3,3,2,1,2,3,2,2,2,1,2
12,1,1,1,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2,1,2,2,3,3,1,1,1,3,3,2,3,2,1
15,2,2,2,2,2,2,2,3,2,2,1,1,1,1,3,2,2,2,2,2,2,1,3,2,3,3,1,3,3,3,2,2
16,2,1,1,3,2,2,1,2,2,2,1,2,2,2,3,2,1,2,1,2,1,1,3,3,1,1,2,3,3,3,2,1
17,1,2,1,2,2,2,1,3,3,2,1,1,2,2,2,2,2,2,1,2,2,2,3,2,2,3,3,2,3,3,3,1
19,1,1,1,2,1,2,2,3,2,3,1,1,2,2,2,2,2,2,1,2,2,2,3,2,3,3,3,3,2,2,3,1
20,1,1,1,2,1,2,2,3,3,2,1,2,2,2,2,2,2,2,1,3,3,3,3,2,2,2,3,2,2,3,2,1
21,1,1,1,2,1,2,2,2,2,3,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,3,3,3,3,2,3,1
22,1,1,1,3,1,3,2,2,3,2,1,2,2,2,2,3,3,2,1,2,1,2,1,3,2,2,2,2,3,2,3,1
23,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,3,2,3,2,2,2,3,2,2,2,3,3,3,3
24,1,1,2,2,2,2,1,3,3,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,3,2,2,3,3,3,3,2
25,2,1,2,2,2,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,1,2,3,1,1,1,2,3,2,3,3,1
28,2,2,2,2,2,2,1,3,3,2,2,2,1,2,2,1,1,1,2,2,2,2,3,1,3,1,3,3,3,3,2,1
29,3,3,2,2,2,2,3,3,1,3,2,2,1,1,2,1,2,2,1,2,1,2,2,1,2,2,1,3,3,3,3,1
30,3,1,3,3,1,3,2,2,2,3,2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,3,3,3,2,2,3
31,3,1,2,2,2,3,1,2,2,2,1,1,1,3,2,2,2,2,1,2,3,1,3,1,2,2,2,2,3,2,3,1
32,3,1,1,2,1,1,2,2,3,3,1,2,2,2,2,2,2,2,1,2,2,3,3,2,2,1,2,3,3,2,2,1
33,1,1,1,3,2,1,2,2,2,2,1,1,3,3,2,2,2,2,2,2,2,3,3,2,1,1,2,3,3,3,2,1
34,2,2,1,3,2,1,2,3,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,3,1,3,3,3,3,1
35,2,3,2,3,1,3,2,2,3,2,2,2,1,1,3,3,3,1,1,1,2,2,2,2,2,2,2,2,3,1,2,1
37,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,3,2,2,2,2,3,3,3,2,2
38,1,2,1,2,2,2,1,2,2,1,2,2,1,3,2,1,3,2,1,1,3,2,2,2,2,2,2,2,3,2,2,1
39,2,2,1,2,2,2,3,2,2,2,1,1,2,2,2,1,2,1,1,1,3,2,3,1,2,2,2,3,3,3,2,1
41,2,2,1,3,2,2,2,2,2,2,2,3,2,3,2,1,2,2,1,1,2,2,3,2,1,1,3,2,2,2,1,1
42,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,3,1,2,2,2,1,3,2,1,1,3,3,3,1,2
43,2,2,2,3,2,2,1,2,2,1,2,1,2,3,2,1,2,3,1,1,3,2,3,2,2,2,2,2,2,2,1,1
44,3,2,1,3,2,2,2,3,2,2,2,2,2,2,1,1,2,2,1,1,3,2,3,2,2,2,3,2,3,3,3,1
45,1,1,1,2,2,2,2,2,3,3,2,2,2,1,2,2,2,1,1,2,3,2,3,2,1,1,2,2,3,3,1,2
46,2,2,2,3,2,2,1,2,2,3,2,3,1,1,2,2,2,1,2,2,2,2,3,1,3,2,3,3,3,3,3,2
47,2,1,1,1,1,1,3,1,3,2,1,2,3,2,2,1,2,2,2,2,2,2,3,2,2,2,3,3,3,3,2,1
49,2,1,2,3,2,1,2,1,2,1,2,2,2,1,3,1,2,3,1,2,2,2,3,2,2,2,2,1,2,1,3,2
50,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,3,1,2,2,2,3,2,2,3,2,3,2,3,3,1
53,2,1,1,2,3,2,2,3,3,2,2,2,3,2,2,1,2,2,1,2,2,2,3,2,2,1,3,3,2,3,1,2
54,2,3,1,2,2,3,1,3,1,2,1,2,1,2,3,2,1,1,2,2,2,2,3,2,2,2,2,3,2,3,3,2
55,2,3,1,3,3,2,2,3,2,2,2,1,2,2,3,2,2,1,2,1,1,2,2,1,2,2,2,3,2,1,3,2
56,1,1,1,3,3,2,2,3,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,1,2
57,3,1,1,3,2,2,1,3,2,2,1,2,1,3,2,1,2,2,2,1,3,1,2,2,1,1,2,2,3,3,2,3
58,1,2,1,2,2,2,2,2,3,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1
59,2,1,1,2,2,2,1,2,3,2,1,2,1,2,3,2,2,2,1,1,2,2,3,2,2,2,2,2,3,3,3,1
60,2,1,2,3,2,2,2,3,2,2,2,2,1,2,3,1,2,1,1,1,2,2,3,3,2,2,3,3,2,3,2,1
63,2,2,1,1,2,1,1,1,3,2,1,2,1,3,2,2,2,2,1,2,3,2,3,3,2,2,3,3,3,2,2,1
64,1,2,2,2,2,1,2,2,2,3,1,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,3,3,3,3,2,1
65,2,2,1,2,2,2,1,2,3,2,1,2,2,2,2,1,1,1,2,1,3,1,3,2,2,3,3,3,3,3,3,2
66,2,3,2,2,2,2,2,2,2,2,1,2,1,2,3,2,2,1,2,1,1,2,3,2,2,2,2,3,3,3,3,1
67,2,1,1,3,2,2,3,2,3,2,2,2,1,2,2,2,2,1,1,1,2,1,3,2,1,1,2,3,3,3,2,1
69,2,1,2,2,2,2,3,3,2,2,2,2,2,2,1,1,2,1,1,1,1,1,3,2,2,2,3,2,3,2,3,2
70,2,2,1,1,2,2,2,3,3,3,1,2,2,2,2,1,3,2,1,1,2,3,2,2,2,1,3,2,3,3,1,1
71,3,1,1,3,2,2,2,2,3,1,2,3,2,2,3,1,1,2,1,2,2,3,3,2,2,2,3,2,3,3,3,1
72,1,1,1,2,2,2,3,1,2,2,1,2,3,3,2,1,3,3,1,2,1,2,3,2,1,2,3,2,3,2,3,1
73,2,2,2,2,2,2,3,3,2,3,2,2,2,2,3,1,2,2,1,1,1,3,2,2,2,3,3,2,3,3,3,1
74,1,1,1,1,2,1,3,1,3,1,2,2,2,3,3,2,2,2,1,2,2,2,3,2,2,2,3,2,3,2,1,1
75,1,2,2,3,1,2,2,3,2,2,3,1,1,2,1,2,3,2,2,2,2,2,2,2,2,2,1,3,3,1,2,2
76,2,2,2,2,1,3,2,2,3,3,1,3,1,2,2,3,2,2,1,2,2,2,3,1,1,2,2,2,3,2,2,1
77,2,1,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,1,2,1,1,2,3,1,2,2,2,2,2,2,3,1
78,2,2,2,3,2,3,2,2,3,2,1,1,2,2,2,2,2,3,1,2,1,2,3,2,1,2,2,1,2,2,2,1
80,2,2,2,2,1,3,3,2,3,3,2,2,1,2,2,3,2,3,1,2,2,2,3,2,1,1,2,1,3,2,1,1
83,2,1,1,2,1,1,2,1,3,2,1,1,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,3,2,3,2,1
84,2,1,2,2,1,2,2,2,3,3,2,1,2,2,1,3,2,2,1,1,2,1,2,3,2,2,2,1,2,3,3,1
85,2,2,2,3,2,2,1,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,3,3,2,3,2,3,3,2
86,1,1,2,2,2,3,2,3,3,1,1,2,1,2,2,3,2,2,1,1,2,3,3,2,1,1,3,3,2,3,2,1
87,2,1,1,2,2,2,2,1,3,1,1,2,1,2,2,3,2,2,2,1,2,2,3,3,1,1,3,3,3,3,2,1
88,2,2,1,2,1,2,2,1,3,2,1,2,2,1,2,1,2,2,2,2,2,2,3,2,1,2,2,3,2,3,2,2
89,2,1,2,2,2,2,2,3,3,3,2,1,1,2,3,1,1,2,1,2,3,2,3,2,1,1,2,3,2,3,2,1
91,3,1,1,1,1,3,2,3,3,1,1,2,2,1,2,3,1,1,1,1,3,2,2,2,2,2,2,2,3,3,3,2
